frame,images_centroid_x,images_centroid_y,images_delta_x,images_delta_y,images_distance,images2_centroid_x,images2_centroid_y,images2_delta_x,images2_delta_y,images2_distance,timestamp_s
275,16,18,-1,1,1.414213562,18,16,2,0,2,13.75
276,18,17,2,-1,2.236067977,18,16,0,0,0,13.8
277,16,17,-2,0,2,16,16,-2,0,2,13.85
278,17,18,1,1,1.414213562,18,17,2,1,2.236067977,13.9
279,17,18,0,0,0,17,18,-1,1,1.414213562,13.95
280,17,18,0,0,0,17,16,0,-2,2,14
281,18,17,1,-1,1.414213562,17,16,0,0,0,14.05
282,18,17,0,0,0,17,17,0,1,1,14.1
283,18,17,0,0,0,17,18,0,1,1,14.15
284,17,18,-1,1,1.414213562,17,17,0,-1,1,14.2
285,14,20,-3,2,3.605551275,17,17,0,0,0,14.25
286,16,19,2,-1,2.236067977,15,17,-2,0,2,14.3
287,16,18,0,-1,1,17,18,2,1,2.236067977,14.35
288,17,17,1,-1,1.414213562,16,15,-1,-3,3.16227766,14.4
289,17,17,0,0,0,17,17,1,2,2.236067977,14.45
290,18,18,1,1,1.414213562,17,18,0,1,1,14.5
291,17,18,-1,0,1,17,17,0,-1,1,14.55
292,16,18,-1,0,1,16,17,-1,0,1,14.6
293,16,16,0,-2,2,16,16,0,-1,1,14.65
294,13,17,-3,1,3.16227766,16,18,0,2,2,14.7
295,14,18,1,1,1.414213562,17,17,1,-1,1.414213562,14.75
296,15,18,1,0,1,17,17,0,0,0,14.8
297,16,17,1,-1,1.414213562,16,17,-1,0,1,14.85
298,16,16,0,-1,1,17,17,1,0,1,14.9
299,16,18,0,2,2,17,16,0,-1,1,14.95
300,16,17,0,-1,1,16,17,-1,1,1.414213562,15
301,16,18,0,1,1,17,16,1,-1,1.414213562,15.05
302,15,17,-1,-1,1.414213562,16,16,-1,0,1,15.1
303,15,17,0,0,0,15,17,-1,1,1.414213562,15.15
304,15,16,0,-1,1,17,17,2,0,2,15.2
305,15,18,0,2,2,15,18,-2,1,2.236067977,15.25
306,16,17,1,-1,1.414213562,15,19,0,1,1,15.3
307,15,17,-1,0,1,15,18,0,-1,1,15.35
308,15,18,0,1,1,16,18,1,0,1,15.4
309,16,21,1,3,3.16227766,,,,,,15.45
310,15,20,-1,-1,1.414213562,16,18,0,0,0,15.5
311,16,18,1,-2,2.236067977,15,18,-1,0,1,15.55
312,16,18,0,0,0,15,18,0,0,0,15.6
313,16,19,0,1,1,15,19,0,1,1,15.65
314,16,18,0,-1,1,16,17,1,-2,2.236067977,15.7
315,17,18,1,0,1,15,17,-1,0,1,15.75
316,16,19,-1,1,1.414213562,16,16,1,-1,1.414213562,15.8
317,17,19,1,0,1,17,19,1,3,3.16227766,15.85
318,16,18,-1,-1,1.414213562,17,19,0,0,0,15.9
319,17,18,1,0,1,16,17,-1,-2,2.236067977,15.95
320,16,19,-1,1,1.414213562,16,18,0,1,1,16
321,15,20,-1,1,1.414213562,15,17,-1,-1,1.414213562,16.05
322,17,18,2,-2,2.828427125,17,18,2,1,2.236067977,16.1
323,17,18,0,0,0,17,18,0,0,0,16.15
